Total; tran P X,Total; tran P Y,/w_CLK X,/w_CLK Y,/w_D X,/w_D Y,/A X,/A Y,/B X,/B Y,/C X,/C Y,/D X,/D Y,/Z X,/Z Y
2.63e-06,0.002993664751193443,2.63e-06,0,2.63e-06,3,2.63e-06,0.03059772390147336,2.63e-06,0.03147954665846483,2.63e-06,2.999920997739114,2.63e-06,3.000034836531355,2.63e-06,3.002880227934354
2.6303125e-06,0.002992147425815624,2.6303125e-06,0.1874999999998553,2.6303125e-06,3,2.6303125e-06,0.04814798255166131,2.6303125e-06,0.04935645665465174,2.6303125e-06,3.009000747517331,2.6303125e-06,3.00914611666404,2.6303125e-06,3.002952898715435
2.630937499999999e-06,0.003023483405383314,2.630937499999999e-06,0.562499999999661,2.630937499999999e-06,3,2.630937499999999e-06,0.07805819849793891,2.630937499999999e-06,0.08272213799594548,2.630937499999999e-06,3.022092425379304,2.630937499999999e-06,3.022319164005857,2.630937499999999e-06,3.002972692897734
2.631435927628772e-06,0.003148418544859278,2.631435927628772e-06,0.8615565772632312,2.631435927628772e-06,3,2.631435927628772e-06,0.09529681928472757,2.631435927628772e-06,0.107633309141943,2.631435927628772e-06,3.036210240445226,2.631435927628772e-06,3.036542412126902,2.631435927628772e-06,3.002876960810904
2.632080443058878e-06,0.003511485126683142,2.632080443058878e-06,1.248265835326972,2.632080443058878e-06,3,2.632080443058878e-06,0.1102541107251731,2.632080443058878e-06,0.1364615129052532,2.632080443058878e-06,3.049197510911315,2.632080443058878e-06,3.049703146572136,2.632080443058878e-06,3.00267549483862
2.632644394443681e-06,0.004017088762142148,2.632644394443681e-06,1.586636666208822,2.632644394443681e-06,3,2.632644394443681e-06,0.1171050344291663,2.632644394443681e-06,0.1552376987528578,2.632644394443681e-06,3.053152859185177,2.632644394443681e-06,3.053821114407723,2.632644394443681e-06,3.002407497088851
2.633223950203383e-06,0.004607221713250255,2.633223950203383e-06,1.934370122029923,2.633223950203383e-06,3,2.633223950203383e-06,0.1193503390831933,2.633223950203383e-06,0.1676207284676855,2.633223950203383e-06,3.06297767636884,2.633223950203383e-06,3.063832217134095,2.633223950203383e-06,3.002066799987544
2.633388153098172e-06,0.004773287780693115,2.633388153098172e-06,2.032891858903102,2.633388153098172e-06,3,2.633388153098172e-06,0.1189174868273528,2.633388153098172e-06,0.1695993454948823,2.633388153098172e-06,3.066486005743578,2.633388153098172e-06,3.067400740450509,2.633388153098172e-06,3.001960788752966
2.633470254545566e-06,0.004856129444204114,2.633470254545566e-06,2.082152727339691,2.633470254545566e-06,3,2.633470254545566e-06,0.1184197062611197,2.633470254545566e-06,0.1702721023420647,2.633470254545566e-06,3.068336327505236,2.633470254545566e-06,3.069282723604871,2.633470254545566e-06,3.001906747604462
2.633634457440355e-06,0.005020539027740339,2.633634457440355e-06,2.180674464212869,2.633634457440355e-06,3,2.633634457440355e-06,0.117067427195709,2.633634457440355e-06,0.1712106593967976,2.633634457440355e-06,3.072214460454817,2.633634457440355e-06,3.073226410736284,2.633634457440355e-06,3.001796895891185
2.633962863229932e-06,0.005338373344533407,2.633962863229932e-06,2.377717937959226,2.633962863229932e-06,3,2.633962863229932e-06,0.1147921939572574,2.633962863229932e-06,0.1730919895292886,2.633962863229932e-06,3.080599722675269,2.633962863229932e-06,3.081750505104154,2.633962863229932e-06,3.00157240871661
2.634298812173543e-06,0.005650343356688388,2.634298812173543e-06,2.57928730412582,2.634298812173543e-06,3,2.634298812173543e-06,0.1144517405902899,2.634298812173543e-06,0.1764828042388757,2.634298812173543e-06,3.089875002889221,2.634298812173543e-06,3.091181480511956,2.634298812173543e-06,3.00133887076117
2.634649406086771e-06,0.005972219994063235,2.634649406086771e-06,2.789643652062872,2.634649406086771e-06,3,2.634649406086771e-06,0.1166410258156226,2.634649406086771e-06,0.1823434007971925,2.634649406086771e-06,3.10001640730641,2.634649406086771e-06,3.101504336795567,2.634649406086771e-06,3.001093976032547
2.635e-06,0.006285745882791055,2.635e-06,2.999999999999924,2.635e-06,3,2.635e-06,0.1209775208899028,2.635e-06,0.1903848952418924,2.635e-06,3.110287811168076,2.635e-06,3.11197596251464,2.635e-06,3.000850451342886
2.635176832132989e-06,0.006207555814669145,2.635176832132989e-06,3,2.635176832132989e-06,3,2.635176832132989e-06,0.113379857414355,2.635176832132989e-06,0.1808349159007062,2.635176832132989e-06,3.1038362047355,2.635176832132989e-06,3.10560933416289,2.635176832132989e-06,3.000720053338326
2.635403789925671e-06,0.006124420712242515,2.635403789925671e-06,3,2.635403789925671e-06,3,2.635403789925671e-06,0.1052091966755497,2.635403789925671e-06,0.1701558765138149,2.635403789925671e-06,3.097106445004369,2.635403789925671e-06,3.09898452547765,2.635403789925671e-06,3.000663240783382
2.635619551661865e-06,0.006051663418106558,2.635619551661865e-06,3,2.635619551661865e-06,3,2.635619551661865e-06,0.09968229762761052,2.635619551661865e-06,0.1623202624217153,2.635619551661865e-06,3.092857630404314,2.635619551661865e-06,3.094828122760683,2.635619551661865e-06,3.000755962141288
2.636037074714148e-06,0.00591151601462626,2.636037074714148e-06,3,2.636037074714148e-06,3,2.636037074714148e-06,0.09208353939374864,2.636037074714148e-06,0.1505537200141446,2.636037074714148e-06,3.086790297915731,2.636037074714148e-06,3.088924199304612,2.636037074714148e-06,3.001050883571874
2.636411605727853e-06,0.00578335338523006,2.636411605727853e-06,3,2.636411605727853e-06,3,2.636411605727853e-06,0.08710659446649935,2.636411605727853e-06,0.1422002258523818,2.636411605727853e-06,3.082334791820005,2.636411605727853e-06,3.084598269071197,2.636411605727853e-06,3.001357925763152
2.636911885092944e-06,0.005614150748386986,2.636911885092944e-06,3,2.636911885092944e-06,3,2.636911885092944e-06,0.0814479407533701,2.636911885092944e-06,0.1325092174856153,2.636911885092944e-06,3.076667514129468,2.636911885092944e-06,3.079080210311392,2.636911885092944e-06,3.001760108097213
2.637497986692492e-06,0.005423392449264759,2.637497986692492e-06,3,2.637497986692492e-06,3,2.637497986692492e-06,0.07564309171789915,2.637497986692492e-06,0.1225313892010493,2.637497986692492e-06,3.070116071977361,2.637497986692492e-06,3.072671359111041,2.637497986692492e-06,3.002184771901877
2.638407612049346e-06,0.005150447627094658,2.638407612049346e-06,3,2.638407612049346e-06,3,2.638407612049346e-06,0.06804227516929509,2.638407612049346e-06,0.1092720120586262,2.638407612049346e-06,3.059934223175291,2.638407612049346e-06,3.062648799100851,2.638407612049346e-06,3.002718004544821
